MANCINI C&C BEVERAGE ,,,,,,,,,,
"PO BOX 1437 - COVENTRY, Ri 02816 - 401-822-6400",,,,,,,,,,
,,,,,,,,,,
SOLD TO,,,,,,,,,,
,,,,,,,,,,
1405 DOUGLAS AVE,,,,,,,,,,
NO.PROVIDENCE RI 02904,,,,,,,,,,
DOUGLAS WINE & SPIRITS A,,,,,,,,,,
(401) 737-0900,,,,,,,,,,
,,,,,,,,,,
,0,1,3,4,6,8,9,10,11,12
0,Loc ,NUM.,CASES,SIZE,DESCRIPTION,PRICE,DISC.,PRICE,DEPOSIT TOTAL,TOTAL
1,112,499306,2,120Z,MOLSON GOLDEN ALE 4/6B,26.6,,26.6,,53.2
2,112,499316,2,120Z,MOLSON GOLDEN ALE 2/12B,22.58,,22.58,,45.16
3,112,499386,2,120Z,MOLSON ICE 2/12B,22.58,,22.58,,45.16
4,113,460856,9,120Z,CHAIR 2 LIGHT LAGER 2/12C,31,3.75,27.25,,245.25
5,113,460856,,4 1202,CHAIR 2 LIGHT LAGER 2/12C Ok,,,,,
6,116,491286,,11.2,SMIR 2/12B ICE PARTY PACK,,,,,
7,117,491086,1,11.2,SMIR 11.2 ICE ORIGINAL 4/6B,31.49,,31.49,,31.49
8,119,499776,6,1202,COORS LT B 120Z 4/6B,26.6,,26.6,,159.6
9,120,499556,5,120Z,BLUE MN BEL WHITE 4/6B,31.18,,31.18,,155.9
10,122,499967,78,120Z,COORS LT C 120Z 30C,26.25,1.8,24.45,,1907.1
11,123,499986,15,120Z,COORS LT C 120Z 18C,16.5,,16.5,,247.5
12,125,489176,2,120Z,HEINEKEN B LOOSE 24B,31.33,,26.98,,53.96
13,128,458725,1,120Z,DOWNEAST ORIGINAL CIDER 6/4C,50.99,,50.99,,50.99
14,128,489605,1,1202,DOS EQUIS LAGER 2/12B,32.03,,27.03,,27.03
15,129,489606,1,120Z,DOS EQUIS LAGER 4/6B,32.03,,30.53,,30.53
16,129,499957,5,| 120Z,COORS BANQUET 30C,26.25,1.8,24.45,,122.25
17,130,420416,2,| 120Z,VICTORY GLD MONKEY TRPL 4/6B,38.99,,38.99,,77.98
18,130,460876,6,120Z,CHAIR 2 IPA LIGHT 2/12C,31,3.75,27.25,,163.5
19,132,458805,5,120Z,DOWNEAST MIX# 3 BERRY 2/9C,33.1,,28.6,,143
20,133,489486,1,1202,AMSTEL LIGHT LAGER 2/12C,32.35,,29.36,,29.36
21,134,423995,1,14.9,GUIN DRAUGHT 18C,25.99,,25.99,,25.99
22,134,451939,2,120Z,LAGU IPA 2/12C,33.75,,27.5,,55
23,135,496246,25,120Z,WHITE CLW 2/12C VARIETY #2,29.25,1.26,27.99,,699.75
24,2,499456,,120Z,*out* BLUE MN BEL WHITE NA 4/6C,,,,,
25,135,499983,2,160Z,COORS LT B 160Z ALUM 2/9C,25.07,,24.74,,49.48
26,136,499777,4,70Z,COORS LT B 070Z PONY 4/6B,19.45,,19.45,,77.8
27,137,415006,2,120Z,YUENGLING LAGER B 4/6B,25.75,,25.75,,51.5
28,139,415026,3,120Z,YUENGLING LAGER C 2/12C,22.5,,21.89,,65.67
29,140,496306,35,120Z,WHITE CLW 2/12C VARIETY #1,29.25,1.26,27.99,,979.65
30,140,496306,6,120Z,WHITE CLW 2/12C VARIETY #1,,,,,
31,141,496307,2,120Z,WHITE CLW 4/6C LIME,30,,30,,60
32,141,496316,2,120Z,WHITE CLW 4/6C RASPBERRY,30,,30,,60
33,141,496317,4,120Z,WHITE CLW 4/6C BLACK CHERRY,30,,30,,120
34,141,496326,15,120Z,WHITE CLW 2/12C BLACK CHERRY,29.25,1.26,27.99,,419.85
35,142,482206,2,120Z,WHITE CLW 4/6C WATERMLN,30,,30,,60
36,142,482786,25,120Z,WHITE CLW 2/12C VARIETY #3,29.25,1.26,27.99,,699.75
37,142,496327,1,120Z,WHITE CLW 4/6C GRAPEFRUIT,30,,30,,30
38,142,496336,1,120Z,WHITE CLW 4/6C MANGO,30,,30,,30
39,143,415036,10,120Z,YUENGLING LAGER B LOOSE 24B,21.98,3.19,18.79,,187.9
