PAGE_NUMBER,MANUFACTURER,YEAR,MODEL,ENGINE,OIL
6,ACURA,2023,MDX,V6 3.0L F.I. Turbo,"['M1-110', 'M1-110A']"
6,ACURA,2023,MDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2023,RDX,4 cyl. 2.0L F.I. Turbo,"['M1-110', 'M1-110A']"
6,ACURA,2023,TLX,4 cyl. 2.0L F.I. Turbo,"['M1-110', 'M1-110A']"
6,ACURA,2023,TLX,V6 3.0L F.I. Turbo,"['M1-110', 'M1-110A']"
6,ACURA,2022,ILX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2022,MDX,V6 3.0L F.I. Turbo,"['M1-110', 'M1-110A']"
6,ACURA,2022,MDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2022,RDX,4 cyl. 2.0L F.I. Turbo,"['M1-110', 'M1-110A']"
6,ACURA,2022,TLX,4 cyl. 2.0L F.I. Turbo,"['M1-110', 'M1-110A']"
6,ACURA,2022,TLX,V6 3.0L F.I. Turbo,"['M1-110', 'M1-110A']"
6,ACURA,2021,ILX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2021,MDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2021,RDX,4 cyl. 2.0L F.I. Turbo,"['M1-110', 'M1-110A']"
6,ACURA,2021,TLX,4 cyl. 2.0L F.I. Turbo,"['M1-110', 'M1-110A']"
6,ACURA,2021,TLX,V6 3.0L F.I. Turbo,"['M1-110', 'M1-110A']"
6,ACURA,2020,ILX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2020,MDX,V6 3.0L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2020,MDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2020,RDX,4 cyl. 2.0L F.I. Turbo,"['M1-110', 'M1-110A']"
