,household_number_year,household_number_location,household_number_order,source,provenance,provenance_place,provenance_year,declarant_name_1,declarant_name_2,declarant_name_3,declarant_name_4,declarant_name_5,declarant_ids,declarant_occupation,number_of_family_members,number_of_non_family_members,number_of_slaves,verif_photo,discussion_text,discussion_indicates_substantive_record_brokenness
0,11,Ar,l,"P.Mil. I 3 (cf. BL 6.75, 7.101) + P.Col.inv. 8: GRBS 32 (1991) 255-65","Theadelphia (Arsinoite), 22/1/12",Theadelphia (Arsinoite), 22/1/12,Harthotes,,,,,['11-Ar-l-d1'],public farmer and priest of Tothoes,3,0,0,P.Mil I 3: PI. IV; P.Col.inv. 8: original; plate of both in GRBS.,"Complete. Cf. above, p. 4.",No
1,19?,Ox,1,P.Oxy. II 254 (cf. P.Mich. X 578 introd.),"Oxyrhynchos, 19/20?",Oxyrhynchos, 19/20?,Horion,,,,,['19?-Ox-1-d1'],priest of Isis,1,0,0,"Union Theological Seminary, New York; seen 10/12/1990.","Complete at top, left, and right; broken at the bottom, with loss of most of list of persons, date, and subscription. On the date, see above, p. 3. The first person listed has a name ending in -WJ>, followed by /i^(rpog) and the mother's name: an airdtrup, apparently, age not preserved. He is not the declarant, who lived in another house (so Wilcken, Chr. 201 introd.). Not enough of lines 12-13 is readable to determine if they concern the first per- son listed or, as seems more likely, a second person.",Yes
2,33,Ar,l,SB X 10759 (ZPE 5 [1970] 18) (cf. BASP2Z [1991] 31-32),"Arsinoe, 33/4",Arsinoe, 33/4,Zosimos,Alexandros,,,,"['33-Ar-l-d1', '33-Ar-l-d2']",,6,9,0,P.Mich.inv. 124 recto; seen 9/11/1990.,Broken at right and below; perhaps some additional renters lost along with subscription and date.,Yes
3,33,Ar,2,SB I 5661 (cf. BL 2.2.119-20; BASP 27 [1990] 13-14),"Philadelphia (Arsinoite), 13/6/34",Philadelphia (Arsinoite), 13/6/34,Tatybynchis,,,,,['33-Ar-2-d1'],,2,0,0,"Oslo, formerly Eitrem collection; now P.Oslo inv. 421; photograph.",Complete,No
4,33,Ox,1,P. Oxy. II 256#,"Oxyrhynchos, ca 34",Oxyrhynchos, ca 34,NN,Taos,Tamenneus,,,"['33 Ox-1-d1', '33 Ox-1-d2', '33 Ox-1-d3']",,4,0,0,"Union Theological Seminary, New York; seen 10/12/1990.","Broken at left with substantial loss (about two-thirds), and damaged at bottom; complete at top and most of the right side. Assignment to census of 33 is uncertain, but it is probably not later. The declarants own but do not live in the house; they declare the family occupying it. The reconstruction of the latter is probable but not certain. Probably no persons are lost, but that too is not certain.",Yes
5,33,Ox,2,P.Oxy.Hels. 100 (cf. BL 8.272),"Sinary (Oxyrhynchite), 2-3/34",Sinary (Oxyrhynchite), 2-3/34,Pausas,,,,,['33 Ox 2-d1'],,7,0,0,"Oxford, Ashmolean, inv. 21 3B.23/E(4-5)b; PI. 7; seen 4/4/1991.","Virtually complete except for some loss at right; surface badly damaged throughout; minor loss at bottom. The ed. supposes a possible daughter listed in a damaged passage/lacuna in line 14, but the space seems insufficient for a full entry. It is not certain that the ages were all actually filled in; except for no.6, there are no surviving traces of numerals.",No
6,47,Ox,1,"P.Oxy. II 255 = W.Chr. 201 (cf. BL 1.319, 3.130, 8.234; P.Oxy.Hels.","Oxyrhynchos, 9-10/48",Oxyrhynchos, 9-10/48,Thermoutharion,,,,,['47 Ox 1-d1'],,2,0,0,"Union Theological Seminary, New York; seen 10/12/1990.","Minor losses except for a discontinuity between lines 7 and 8 and the consequent loss of an entry (total of 2 women given in line 11, cf. PSII 53 introd.). No. 2's status of freedwoman is restored from P.Oxy. II 305 (see Aegyptus 46 [1966] 87-89; in AD 20 she was married to Herakleios s. Soterichos). Wilcken showed that she was not identical to the homonymous declarant, as Grenfell and Hunt had thought.",No
7,61,Ar,l,JEA 52 (1966) 135-37 (improved version of SB VI 9572)0,"Kerkesis (Arsinoite), 61/62",Kerkesis (Arsinoite), 61/62,Kronion,,,,,['61-Ar-l-d1'],mason,5,0,1,"London, British Library, inv. 2196; seen 2/4/1991.",Broken at bottom in the middle of the list of persons. Coles' reedition corrects the text substantially.,Yes
8,61,Ox,1,SB XII10788B (BASP1 [1970] 87-98),"Oxyrhynchos, 28/4/62",Oxyrhynchos, 28/4/62,Lucius,,,,,['61 Ox-1-d1'],discharged solder,0,0,0,"P.Yale inv. 1545B; pi. in BASP, p. 89.",Complete. Declaration of a quarter of a house in which no one is registered.,No
9,75,Ar,l,BGU XI 20880,"Arsinoe, 75/6 or 76/7",Arsinoe, 75/6 or 76/7,NN,,,,,['75-Ar-l-d1'],,2,0,0,"W. Berlin, P. 21662; seen 11/4/1991.","Complete at top and right, but large loss at left and broken at bottom perhaps still in the middle of the list of persons. There were at least three other persons declared, but nothing useful can be said about them.",Yes
10,75,Ar,2,P.Harr. I 70 = SB XVIII 13324 (cf. Cd'E 23 [1948] 123 [BL 3.78]; BL,"Arsinoe, 75/6 or 76/7",Arsinoe, 75/6 or 76/7,Aphrodous,,,,,['75 Ar-2-d1'],,5,0,0,"Birmingham, Selly Oak, inv. 27; plate in Cd'E 23 (1948) fig. 10","Broken at right and bottom with loss of much information about per- sons declared. Copy of a supplementary return covering a house occupied by renters; she had registered separately her own residence. See BASP 28 (1991) 5-6 for a detailed attempt to unravel the identities of the persons men- tioned. There could have been another son between nos. 3 and 4 (thus between 11 and 15 in age), and daughters may be lost after the mother [no.5].",Yes
11,75,Ar,3,P.Minnesota inv. 1381982,"Arsinoe, 75/6 or 76/7",Arsinoe, 75/6 or 76/7,Chairemon,,,,,['75-Ar-3-d1'],,1,0,0,"Minneapolis/St. Paul, University of Minnesota Library; photograph;","Preserved in two fragments broken on all sides with a gap between them. There is much uncertainty in the reconstruction, but it appears that this was a declaration of a household containing only lodgers; only of the first of these is any of the name preserved.",Yes
12,75,Ox,1,P.Oxy. II 361 descr.,"Oxyrhynchos, 76/7",Oxyrhynchos, 76/7,NN,NN,,,,"['75 Ox-1-d1', '75 Ox-1-d2']",,5,0,0,"Oxford, Bodleian Library; photo in Ashmolean, seen 5/4/1991.","The top of the document is lost, with opening statements. The household is probably complete, but the loss of the right side makes the information about the males incomplete. The relationships as shown are thus somewhat uncertain.",No
13,89,At,1,SB XIV 12110 = ZPE 25 (1977) 137,"Antaiopolite, 90/91",Antaiopolite, 90/91,Psais,,,,,['89 At 1-d1'],,0,0,0,"P.Mich, inv. 4315; seen 9/11/1990.","Complete on all sides except at bottom, where the entire listing of per- sons has been lost.",No
14,89,Ar,l,P.Mich. Ill 176 (cf. BL 7.108),"Bacchias (Arsinoite), 10/5/91",Bacchias (Arsinoite), 10/5/91,Peteuris,,,,,['89-Ar-l-d1'],public farmer,4,0,0,"P.Mich, inv. 104; seen 9/11/1990.","Complete with a few small breaks and some abrasion. The family is known from several other documents; an extensive stemma on P.Mich. Ill, p. 180. For the following declarations of this household, see 103-Ar-8 and 117- Ar-4.",No
15,89,Hm,l,P.Hamb. I 60 (= CPJud. HI 485),"Hermopolis, 7 or 10/12/90",Hermopolis, 7 or 10/12/90,Pascheis,,,,,['89-Hm-l-d1'],,6,0,0,"Hamburg, inv. 318; photograph.","Damaged at both sides. The edition in CPJud. contributes no improve- ments. There is a lacuna of 5 letters before the two women's names, but no compounds of these names are known, and we cannot tell what stood there (if anything). The uncompounded names are attested. The sequence and phras- ing of nos. 5-6 would lead one to think that they were daughters of no. 3, but this clearly cannot be the case.",No
16,103,Ar,1,"PSIIX 1062 (cf. BL 3.227, 8.405)","Arsinoe, 104/5",Arsinoe, 104/5,NN,,,,,['103 Ar 1-d1'],,5,9,1,"Florence, Biblioteca Laurenziana; seen 25/5/1989.","Broken at left and below; probably no names lost at bottom, but mas- sive damage at left makes reconstruction uncertain. Above omits lines 30-35 because too fragmentary. It is not clear if all of these lived in the same house; the fragmentary remains suggest possibly more than one household.",Yes
17,103,Ar,2,PSIX 1136 (cf. BL 8.407),"Tebtunis (Arsinoite), 104/5",Tebtunis (Arsinoite), 104/5,Vestinus,,,,,['103 Ar-2-d1'],,1,0,0,"Florence, Biblioteca Laurenziana; seen 25/5/1989.",Broken at the bottom before reaching the list of persons declared; many holes in what survives. It is not certain that anybody was declared. The suggestion in BL for the date is wrong.,Yes
18,103,Ar,3,P.Corn. 16.1-13 (sec BASP2S [1991] 19-27),"Arsinoe, 104/5",Arsinoe, 104/5,Name lost,,,,,['103 Ar 3-d1'],,9,0,0,"Michigan, P.Corn. inv. II, 16; seen 9/11/1990.","Mentioned in the introduction to the first edition but not published. The relationships (and for the most part the sex) of the children are deduced from their position. This is an extract, most of which is lost at left; it is uncertain if it began on a preceding column. If a digit is in fact lost in no.9, this could be a slave rather than another child.",No
19,103,Ar,4,SB VI 9639 (cf. BL 5.118),"Arsinoe, 104/5",Arsinoe, 104/5,NN,,,,,['103-Ar-4-d1'],,1,0,0,"St. Petersburg, Hermitage, inv. 8431; photograph.","Broken at top, at both sides, and at bottom, where almost all of the listing of persons is lost; there was at least one additional person. The declarant is registering a house and its renters, not his own residence (for which he submitted another declaration).",Yes
20,103,Ar,5,"P.Lond. II 476a (p. 61) (cf. BL 3.94, BASP2S [1991] 124-25)","Arsinoe, 105 (?)",Arsinoe, 105 (?),Name lost,,,,,['103-Ar 5-d1'],,3,0,0,"London, BL inv. 476a; microfilm; original seen, 2/4/1991.","Broken at top, with loss of declarant's name; broken at bottom, but since vlov is singular and Theogeiton is firj ocpayeypafifxevov iv emyeyevrinevoK;, probably no names are lost. This is evidently a family of renters. The second digit of Leontas' age is uncertain.",Yes
21,103,Ar,6,"P.Lond. Ill 1119a (p. 25) = CPJud. II 430 (cf. BL 1.274, 3.96, 4.44)#","Theadelphia (Arsinoite), 105",Theadelphia (Arsinoite), 105,NN,,,,,['103-Ar 6-d1'],,2,0,0,"London, BL inv. 1119a; microfilm; original seen 2/4/1991.","Damaged at left and broken below, with considerable loss. Declarant is registering renters in property owned by her. It is not certain that there was not a third person mentioned (in line 12); the papyrus is very damaged at this point. If the editor's /xiyr(p6g) rrjq] avT(fjq) with the second person is correct, he or she was a sibling of no.l.",Yes
22,103,Ar,7,P. Oxf. 8,"Arsinoe, 104/5",Arsinoe, 104/5,Athenais,,,,,['103-Ar-7-d1'],,4,0,0,P.Ashm.inv. 8; PL VIII; seen 4/4/1991.,"Complete at top and bottom, partially complete at left, substantial loss at right in most lines. The husband's age is restored from the date given for his epikrisis in year 9 of Nero, 62/3, presumably at age 14. The readings of the children's ages are secure, and confirmed by the dates of their registra- tion at birth (also partially preserved).",No
23,103,Ar,8,P.Mich. Ill 177 (cf. BL 7.108)0,"Bacchias (Arsinoite), 1/12/104",Bacchias (Arsinoite), 1/12/104,Peteuris,,,,,['103-Ar-8-d1'],public farmer,4,0,0,"P.Mich, inv. 105; seen 9/11/1990.","Complete except for a narrow center strip where the two halves have separated. For previous declaration of this household, see 89-Ar-l; for the following, see 117-Ar-4.",No
24,103,Ar,9,SB XIV 11577 (ZPE 21 [1976] 209) = P.Mich. IX 537 (cf. BL 8.372)0,"Karanis (Arsinoite), 20/10/104",Karanis (Arsinoite), 20/10/104,Terpos,,,,,['103-Ar 9-d1'],,4,0,0,"P.Mich, inv. 5869; checked by Traianos Gagos, Ludwig Koenen,","Small losses at both sides in the upper part, minor damage at the end. No loss of entries. The age of no.3 is uncertain.",No
25,103,Ar,10,SPP XXII 32 (cf. BL 8.480; BASP 28 [1991] 132-33),"Soknopaiou Nesos (Arsinoite), 105",Soknopaiou Nesos (Arsinoite), 105,Ptollous with kyrios NN,,,,,['103 Ar-10-d1'],,0,0,0,"Vienna, inv. G 24886; seen 22/4/1991.",Broken at top with loss of introductory formulas; broken at left. This is evidently a registration of property in which no one is declared.,Yes
26,103,Ar,ll,"P.Lond. Ill 1221 (p. 24) (cf. BL 1.274, 8.187)0","Arsinoe, 105",Arsinoe, 105,Anchorimphis,,,,,['103-Ar-ll-d1'],workman,3,0,0,"London, BL inv. 1221; microfilm; original seen 3/4/1991.","Minor damage throughout; broken at bottom, just after end of names of persons.",Yes
27,103,Ar,12,Pap.Lugd.Bat. XIII12 (cf. BL 7.97)0,"Polemon Division (Arsinoite), 72-3/105",Polemon Division (Arsinoite), 72-3/105,Orsenouphis,,,,,['103-Ar 12-d1'],idiotes,3,0,0,"Vienna, inv. G 27705; seen 22/4/1991.",Minor losses only.,No
28,103,Ar,13,P.Mich. XV 693 (cf. BL 8.219),"Tebtunis (Arsinoite), 104/5",Tebtunis (Arsinoite), 104/5,Didymos,,,,,['103-Ar 13-d1'],,0,0,0,"P.Mich, inv.5582; PL V.","Complete except at bottom, where nothing essential is lost. This is a declaration of property, in which no one is registered.",No
29,103,Ar,14,P.Heid. IV 298,"Theadelphia (Arsinoite), 104/5",Theadelphia (Arsinoite), 104/5,Heron alias Theogiton,,,,,['103-Ar-14-d1'],,1,0,0,"Heidelberg, inv. G 1696; Tafel VI.","Left side partly damaged; broken at bottom. Heron, a metropolite, declares a house in Theadelphia belonging to the children of C. Petronius Abaskantos, whose names are not given and whose phrontistes he is, in which a renter lives.",Yes
