,household_number,source,provenance,declarant_name,declarant_name_parsed,declarant_id,name_of_family_members,name_of_non_family_members,slaves,declarant_occupation,verif_photo,discussion
0,11-Ar-l,"P.Mil. I 3 (cf. BL 6.75, 7.101) + P.Col.inv. 8: GRBS 32 (1991) 255-65","Theadelphia (Arsinoite), 22/1/12","Harthotes s. Marres, public farmer and priest of Tothoes",['Harthotes'],['11-Ar-l-d1'],"['(1) Harthotes [declarant] s. Marres and Esersythis, public farmer and priest of Tothoes, 55', '(2) Harpatothoes s. Harthotes [declarant] and Taanchoriphis, 9', '(3) Esersythis d. Pasion, mother of Harthotes [declarant], 70']",[],[],public farmer and priest of Tothoes,P.Mil I 3: PI. IV; P.Col.inv. 8: original; plate of both in GRBS.,"Complete. Cf. above, p. 4."
1,19?-Ox-1,P.Oxy. II 254 (cf. P.Mich. X 578 introd.),"Oxyrhynchos, 19/20?","Horion s. Petosiris, priest of Isis",['Horion'],['19?-Ox-1-d1'],"['(1) NN s. Sintheos, arexvoq']",[],[],priest of Isis,"Union Theological Seminary, New York; seen 10/12/1990.","Complete at top, left, and right; broken at the bottom, with loss of most of list of persons, date, and subscription. On the date, see above, p. 3. The first person listed has a name ending in -WJ>, followed by /i^(rpog) and the mother's name: an airdtrup, apparently, age not preserved. He is not the declarant, who lived in another house (so Wilcken, Chr. 201 introd.). Not enough of lines 12-13 is readable to determine if they concern the first per- son listed or, as seems more likely, a second person."
2,33-Ar-l,SB X 10759 (ZPE 5 [1970] 18) (cf. BASP2Z [1991] 31-32),"Arsinoe, 33/4",Zosimos and Alexandros sons of Alexandros,"['Zosimos', 'Alexandros']","['33-Ar-l-d1', '33-Ar-l-d2']","['(1) Zosimos [declarant] s. Alexandros and Aphrod[, age lost', '(2) Alexandros [declarant] s. Alexandros and Aphrodf, age lost', '(3) Alexandros s. Zosimos [declarant], age lost', '(4) Isidoros s. Alexandros and Aphrod[, brother of nos. 1 and 2, age lost', '(5) Mystharion s. Alexandros and Aphrodf, brother of nos. 1 and 2, age lost', '(6) Philoumenos s. Alexandros, brother of nos. 1 and 2, age lost']","['(1) B[ ] s. Aphrodisios and Sarapias, age lost', '(2) NN (Aphrodisios?) s. Aphrodisios and Thermion, 25', '(3) NN (Sarapion the elder?) s. Aphrodisios and Thermion, age lost', '(4) Sarapion the younger s. Aphrodisios and Thermion, 18', '(5) NN s. (or d.?) of Aphrodisios and Thermion, 18', '(6) Herakl[, s. (or d.?) of Aphrodisios and Thermion, age lost', '(7) NN wife (?) of Aphrodisios [no.2?], age lost', '(8) NN wife (?) of Sarapion [no.3 or no.4?], age lost', '(9) NN, no information preserved']",[],,P.Mich.inv. 124 recto; seen 9/11/1990.,Broken at right and below; perhaps some additional renters lost along with subscription and date.
3,33-Ar-2,SB I 5661 (cf. BL 2.2.119-20; BASP 27 [1990] 13-14),"Philadelphia (Arsinoite), 13/6/34","Tatybynchis d. Mares, with kyrios her kinsman Patouamtis s. Ptollis (age 36)",['Tatybynchis'],['33-Ar-2-d1'],"['(1) Panetbeueis s. Kephalon and Tatybynchis [declarant], 5', '(2) Tatybynchis [declarant], d. Mares, 35']",[],[],,"Oslo, formerly Eitrem collection; now P.Oslo inv. 421; photograph.",Complete
4,33 Ox-1,P. Oxy. II 256#,"Oxyrhynchos, ca 34","NN d. Thoonis, with kyrios —ros s. Apollophanes; Taos d. Thoonis, with kyrios NN s. —kos; and Tamenneus d. NN, with kyrios her husband NN","['NN', 'Taos', 'Tamenneus']","['33 Ox-1-d1', '33 Ox-1-d2', '33 Ox-1-d3']","[' 1) Kronios s. NN and —this, arex^og, age omitted', '(2) NN s. Kronios [no.l], minor, age lost', '(3) NN d. NN and NN alias Taseus, wife of Kronios [no.l], arexvoc;, age lost', '(4) NN d. Kronios [no.l] and NN [no.3?], minor, arexvoq, 5']",[],[],,"Union Theological Seminary, New York; seen 10/12/1990.","Broken at left with substantial loss (about two-thirds), and damaged at bottom; complete at top and most of the right side. Assignment to census of 33 is uncertain, but it is probably not later. The declarants own but do not live in the house; they declare the family occupying it. The reconstruction of the latter is probable but not certain. Probably no persons are lost, but that too is not certain."
5,33 Ox 2,P.Oxy.Hels. 100 (cf. BL 8.272),"Sinary (Oxyrhynchite), 2-3/34",Pausas s. Hephaistion,['Pausas'],['33 Ox 2-d1'],"['(1) Pausas [declarant] s. Hephaistion and Herakleia, age lost', '(2) Hephaistas s. Pausas [declarant] and Soerous [no.7], age lost', '(3) Hermogenes, s. Pausas [declarant] and Soerous [no.7], age lost', '(4) Amois s. Pausas [declarant] and Soerous [no.7], age lost', '(5) Ar... s. Pausas [declarant] and Soerous [no.7], age lost', '(6) Hermogenes surnamed Horos, s. Pausas [declarant] and Soerous [no.7], 1', '(7) Soerous d. Hermogenes and Ploutarche, wife of Pausas [declarant], age lost']",[],[],,"Oxford, Ashmolean, inv. 21 3B.23/E(4-5)b; PI. 7; seen 4/4/1991.","Virtually complete except for some loss at right; surface badly damaged throughout; minor loss at bottom. The ed. supposes a possible daughter listed in a damaged passage/lacuna in line 14, but the space seems insufficient for a full entry. It is not certain that the ages were all actually filled in; except for no.6, there are no surviving traces of numerals."
6,47 Ox 1,"P.Oxy. II 255 = W.Chr. 201 (cf. BL 1.319, 3.130, 8.234; P.Oxy.Hels.","Oxyrhynchos, 9-10/48","Thermoutharion d. Thoonis, with her kyrios Apollonios s. Sotades",['Thermoutharion'],['47 Ox 1-d1'],"['(1) Entry lost', '(2) Thermoutharion freedwoman of Sotades, 65']",[],[],,"Union Theological Seminary, New York; seen 10/12/1990.","Minor losses except for a discontinuity between lines 7 and 8 and the consequent loss of an entry (total of 2 women given in line 11, cf. PSII 53 introd.). No. 2's status of freedwoman is restored from P.Oxy. II 305 (see Aegyptus 46 [1966] 87-89; in AD 20 she was married to Herakleios s. Soterichos). Wilcken showed that she was not identical to the homonymous declarant, as Grenfell and Hunt had thought."
7,61-Ar-l,JEA 52 (1966) 135-37 (improved version of SB VI 9572)0,"Kerkesis (Arsinoite), 61/62","Kronion s. Haryotes, mason",['Kronion'],['61-Ar-l-d1'],"['(1) Kronion [declarant] s. Haryotes and Thasos, mason, 52', '(2) Kronion s. Kronion [declarant] and Taorseus, 3', '(3) Patron s. Kronion [declarant] and Taorseus, 1', '(4) Thensokeus d. Kronion [declarant] and Taorseus, 11', '(5) Taorseus d. Patron and Tetaros, wife of Kronion [declarant], 30']",[],['More than one (8ov\\u<a); entries lost'],mason,"London, British Library, inv. 2196; seen 2/4/1991.",Broken at bottom in the middle of the list of persons. Coles' reedition corrects the text substantially.
8,61 Ox-1,SB XII10788B (BASP1 [1970] 87-98),"Oxyrhynchos, 28/4/62","Lucius Pompeius L.f. tribu Pollia Niger, discharged solder",['Lucius'],['61 Ox-1-d1'],[],[],[],discharged solder,"P.Yale inv. 1545B; pi. in BASP, p. 89.",Complete. Declaration of a quarter of a house in which no one is registered.
9,75-Ar-l,BGU XI 20880,"Arsinoe, 75/6 or 76/7",NN s. NN and Helene,['NN'],['75-Ar-l-d1'],"['(1) NN [declarant] s. NN and Helene, 48', '(2) NN d. NN, 30 (possibly not kin)']",[],[],,"W. Berlin, P. 21662; seen 11/4/1991.","Complete at top and right, but large loss at left and broken at bottom perhaps still in the middle of the list of persons. There were at least three other persons declared, but nothing useful can be said about them."
