,household_id,id,name,sex,age,occupation,father,mother,paternal_grandfather,maternal_grandfather,spouse,siblings,children,relation_to_declarant,role,owner
0,11-Ar-l,11-Ar-l-d1,Harthotes,male,55,public farmer and priest of Tothoes,Marres,11-Ar-l-FM2,,,,[],['11-Ar-l-FM1'],self,family member,
1,11-Ar-l,11-Ar-l-FM1,Harpatothoes,male,9,,11-Ar-l-d1,Taanchoriphis,,,,[],[],son,family member,
2,11-Ar-l,11-Ar-l-FM2,Esersythis,female,70,,Pasion,,,,,[],['11-Ar-l-d1'],mother,family member,
3,19?-Ox-1,19?-Ox-1-d1,Horion,male,,priest of Isis,Petosiris,,,,,[],[],self,family member,
4,19?-Ox-1,19?-Ox-1-FM1,NN,male,,,Sintheos,,,,,[],[],,family member,
5,33-Ar-l,33-Ar-l-d1,Zosimos,male,age lost,,Alex,Aphrod[,,,,"['33-Ar-l-FM2', '33-Ar-l-FM3', '33-Ar-l-FM4']",['33-Ar-l-FM1'],self,family member,
6,33-Ar-l,33-Ar-l-d2,Alexandros,male,age lost,,Alex,Aphrodf,,,,"['33-Ar-l-FM2', '33-Ar-l-FM3', '33-Ar-l-FM4']",['33-Ar-l-FM1'],self,family member,
7,33-Ar-l,33-Ar-l-FM1,Alexandros,male,age lost,,33-Ar-l-d2,,,,,[],[],son,family member,
8,33-Ar-l,33-Ar-l-FM2,Isidoros,male,age lost,,Alex,Aphrod[,,,,"['33-Ar-l-d1', '33-Ar-l-d2']",[],,family member,
9,33-Ar-l,33-Ar-l-FM3,Mystharion,male,age lost,,Alex,Aphrodf,,,,"['33-Ar-l-d1', '33-Ar-l-d2']",[],,family member,
10,33-Ar-l,33-Ar-l-FM4,Philoumenos,male,age lost,,Alex,,,,,"['33-Ar-l-d1', '33-Ar-l-d2']",[],,family member,
11,33-Ar-l,33-Ar-l-NK1,B[ ],male,age lost,,Aphrodisios,Sarapias,,,,[],[],,free non-kin,
12,33-Ar-l,33-Ar-l-NK2,NN (Aphrodisios?),male,25,,Aphrodisios,Thermion,,,,[],[],,free non-kin,
13,33-Ar-l,33-Ar-l-NK3,NN (Sarapion,male,age lost,,Aphrodisios,Thermion,,,,[],[],,free non-kin,
14,33-Ar-l,33-Ar-l-NK4,Sarapion,male,18,,Aphrodisios,Thermion,,,,[],[],,free non-kin,
15,33-Ar-l,33-Ar-l-NK5,NN,male or female,18,,Aphrodisios,Thermion,,,,[],[],,free non-kin,
16,33-Ar-l,33-Ar-l-NK6,Herakl[,male or female,age lost,,Aphrodisios,Thermion,,,,[],[],,free non-kin,
17,33-Ar-l,33-Ar-l-NK7,NN,female,age lost,,,,,,,[],[],,free non-kin,
18,33-Ar-l,33-Ar-l-NK8,NN,female,age lost,,,,,,,[],[],,free non-kin,
19,33-Ar-l,33-Ar-l-NK9,NN,,,,,,,,,[],[],,free non-kin,
20,33-Ar-2,33-Ar-2-FM1,Panetbeueis,male,5,,Kephalon,33-Ar-2-d1,,,,[],[],son,family member,
21,33-Ar-2,33-Ar-2-d1,Tatybynchis,female,35,,Mares,,,,,[],['33-Ar-2-FM1'],self,family member,
22,33 Ox-1,33 Ox-1-d3,Tamenneus,female,,,NN,,,,,[],[],self,family member,
23,33 Ox-1,33 Ox-1-d2,Taos,female,,,Thoonis,,,,,[],[],self,family member,
24,33 Ox-1,33 Ox-1-d1,NN,female,,,Thoonis,,,,,[],[],self,family member,
25,33 Ox-1,33 Ox-1-FM1,Kronios,male,,,NN,—this,,,33 Ox-1-FM3,[],"['33 Ox-1-FM2', '33 Ox-1-FM4']",,family member,
26,33 Ox-1,33 Ox-1-FM2,NN,male,age lost,,33 Ox-1-FM1,,,,,[],[],,family member,
27,33 Ox-1,33 Ox-1-FM3,NN,female,age lost,,NN,NN,,,33 Ox-1-FM1,[],[],,family member,
28,33 Ox-1,33 Ox-1-FM4,NN,female,5,,33 Ox-1-FM1,NN,,,,[],[],,family member,
29,33 Ox 2,33 Ox 2-d1,Pausas,male,age lost,,Hephaistion,Herakleia,,,33 Ox 2-FM6,[],"['33 Ox 2-FM1', '33 Ox 2-FM2', '33 Ox 2-FM3', '33 Ox 2-FM4', '33 Ox 2-FM5']",self,family member,
30,33 Ox 2,33 Ox 2-FM1,Hephaistas,male,age lost,,33 Ox 2-d1,33 Ox 2-FM6,,,,[],[],son,family member,
31,33 Ox 2,33 Ox 2-FM2,Hermogenes,male,age lost,,33 Ox 2-d1,33 Ox 2-FM6,,,,[],[],son,family member,
32,33 Ox 2,33 Ox 2-FM3,Amois,male,age lost,,33 Ox 2-d1,33 Ox 2-FM6,,,,[],[],son,family member,
33,33 Ox 2,33 Ox 2-FM4,Ar...,male,age lost,,33 Ox 2-d1,33 Ox 2-FM6,,,,[],[],son,family member,
34,33 Ox 2,33 Ox 2-FM5,Hermogenes surnamed Horos,male,1,,33 Ox 2-d1,33 Ox 2-FM6,,,,[],[],son,family member,
35,33 Ox 2,33 Ox 2-FM6,Soerous,female,age lost,,Hermogenes,Ploutarche,,,33 Ox 2-d1,[],"['33 Ox 2-FM1', '33 Ox 2-FM2', '33 Ox 2-FM3', '33 Ox 2-FM4', '33 Ox 2-FM5']",wife,family member,
36,47 Ox 1,47 Ox 1-d1,Thermoutharion,female,,,Thoonis,,,,,[],[],self,family member,
37,47 Ox 1,47 Ox 1-FM1,,,,,,,,,,[],[],,family member,
38,47 Ox 1,47 Ox 1-FM2,Thermoutharion,,65,,,,,,,[],[],,family member,
39,61-Ar-l,61-Ar-l-d1,Kronion,male,52,mason,Haryotes,Thasos,,,61-Ar-l-FM4,[],"['61-Ar-l-FM1', '61-Ar-l-FM2', '61-Ar-l-FM3']",self,family member,
40,61-Ar-l,61-Ar-l-FM1,Kronion,male,3,,61-Ar-l-d1,Taorseus,,,,[],[],son,family member,
41,61-Ar-l,61-Ar-l-FM2,Patron,male,1,,61-Ar-l-d1,Taorseus,,,,[],[],son,family member,
42,61-Ar-l,61-Ar-l-FM3,Thensokeus,female,11,,61-Ar-l-d1,Taorseus,,,,[],[],daughter,family member,
43,61-Ar-l,61-Ar-l-FM4,Taorseus,female,30,,Patron,Tetaros,,,61-Ar-l-d1,[],[],wife,family member,
44,61 Ox-1,61 Ox-1-d1,Lucius,,,discharged solder,,,,,,[],[],self,family member,
