,State Code,County Code,Tract Code,Tract Income Level,Distressed or Underserved Tract,Tract Median Family Income %,2023 FFIEC Est.MSA/MD non- MSA/MD Median Family Income,2023 Est. Tract Median Family Income,2020 Tract Median Family Income,Tract Population,Tract Minority %,Minority Population,Owner Occupied Units,1- to 4- Family Units
0,06,059,0011.01,Middle,No,98.31,"$127,800","$125,640","$104,659",4611,64.00,2951,1022,1172
1,06,059,0011.02,Middle,No,85.61,"$127,800","$109,410","$91,136",3314,70.73,2344,553,667
2,06,059,0011.03,Moderate,No,77.47,"$127,800","$99,007","$82,476",4754,77.62,3690,603,801
3,06,059,0012.01,Moderate,No,60.08,"$127,800","$76,782","$63,958",5200,88.71,4613,585,907
4,06,059,0012.02,Moderate,No,75.57,"$127,800","$96,578","$80,455",3766,89.33,3364,568,811
5,06,059,0013.01,Middle,No,80.97,"$127,800","$103,480","$86,200",7755,70.93,5501,1668,1793
6,06,059,0013.03,Moderate,No,77.19,"$127,800","$98,649","$82,170",5626,80.52,4530,1106,1634
7,06,059,0013.04,Moderate,No,68.71,"$127,800","$87,811","$73,148",3702,83.50,3091,547,835
8,06,059,0014.01,Moderate,No,73.75,"$127,800","$94,253","$78,512",5493,72.69,3993,718,922
9,06,059,0014.02,Middle,No,87.41,"$127,800","$111,710","$93,056",5261,74.13,3900,796,1148
10,06,059,0014.03,Upper,No,128.58,"$127,800","$164,325","$136,875",3290,52.37,1723,1046,1214
11,06,059,0014.04,Moderate,No,53.98,"$127,800","$68,986","$57,463",3770,84.27,3177,565,932
12,06,059,0015.01,Middle,No,110.65,"$127,800","$141,411","$117,796",6659,54.98,3661,1961,2169
13,06,059,0015.03,Middle,No,95.34,"$127,800","$121,845","$101,500",5302,55.88,2963,1042,1432
14,06,059,0015.04,Moderate,No,79.58,"$127,800","$101,703","$84,716",4803,65.69,3155,732,1291
15,06,059,0015.05,Upper,No,121.24,"$127,800","$154,945","$129,067",7115,55.08,3919,1803,2211
16,06,059,0015.06,Middle,No,93.37,"$127,800","$119,327","$99,397",4544,57.31,2604,1034,1148
17,06,059,0015.07,Middle,No,102.55,"$127,800","$131,059","$109,167",5399,63.83,3446,551,990
18,06,059,0016.02,Upper,No,152.46,"$127,800","$194,844","$162,305",5034,54.91,2764,1458,1660
19,06,059,0016.03,Upper,No,146.19,"$127,800","$186,831","$155,625",3960,54.29,2150,851,952
20,06,059,0016.04,Upper,No,136.58,"$127,800","$174,549","$145,391",4284,56.44,2418,975,1094
21,06,059,0017.04,Upper,No,128.80,"$127,800","$164,606","$137,109",8120,85.97,6981,1600,2225
22,06,059,0017.05,Middle,No,97.79,"$127,800","$124,976","$104,099",4315,72.07,3110,918,1216
23,06,059,0017.06,Upper,No,198.51,"$127,800","$253,696","$211,319",4171,57.95,2417,1143,1241
24,06,059,0017.08,Middle,No,104.24,"$127,800","$133,219","$110,972",3736,69.25,2587,1186,1381
